osmid,geometry,amenity
358838643,POINT (-121.9869943 37.3489072),place_of_worship
358838645,POINT (-121.9802441 37.3268543),place_of_worship
358838649,POINT (-121.987255 37.3410833),place_of_worship
358838650,POINT (-121.9704797 37.3597403),place_of_worship
358838656,POINT (-121.9955056 37.3589796),school
358838660,POINT (-121.947179 37.3485525),post_office
358838663,POINT (-121.9660695 37.36883),place_of_worship
358838664,POINT (-121.9030109 37.3110532),post_office
358838665,POINT (-121.96991 37.3400295),place_of_worship
358838668,POINT (-121.9952371 37.3546638),school
358838678,POINT (-121.9472962 37.3474294),place_of_worship
358838693,POINT (-121.9416239 37.3449415),place_of_worship
358838694,POINT (-122.0112076 37.3207126),place_of_worship
358838698,POINT (-122.0144038 37.3160535),place_of_worship
358838710,POINT (-122.0785731 37.3727187),place_of_worship
358838749,POINT (-121.9077336 37.3307749),place_of_worship
358838769,POINT (-121.8968998 37.3249417),place_of_worship
358838785,POINT (-121.9068358 37.3306198),place_of_worship
358838789,POINT (-121.880233 37.358274),place_of_worship
358838799,POINT (-122.0482944 37.3743854),place_of_worship
358838804,POINT (-122.057532 37.3700209),place_of_worship
358838835,POINT (-121.9227332 37.2618878),place_of_worship
358838839,POINT (-121.9241222 37.2618878),place_of_worship
358838843,POINT (-121.8901402 37.2659824),place_of_worship
358838844,POINT (-122.0393128 37.3524205),place_of_worship
358838848,POINT (-122.0589863 37.3591277),place_of_worship
358838850,POINT (-121.9229094 37.2792841),place_of_worship
358838866,POINT (-122.0088485 37.344664),place_of_worship
358838883,POINT (-122.027147 37.3528296),place_of_worship
358838885,POINT (-121.9021773 37.2896648),place_of_worship
358838887,POINT (-121.8918992 37.2910538),place_of_worship
358838888,POINT (-121.9121775 37.2804985),place_of_worship
358838890,POINT (-121.9449566 37.2868873),place_of_worship
358838891,POINT (-121.9282892 37.2813318),place_of_worship
358838897,POINT (-121.9219 37.2935537),place_of_worship
358838899,POINT (-121.9621795 37.2963316),place_of_worship
358838902,POINT (-121.9191225 37.2949426),place_of_worship
358838934,POINT (-121.9469011 37.2888317),place_of_worship
358838936,POINT (-121.9282892 37.2813318),place_of_worship
358838939,POINT (-121.9326458 37.325273),place_of_worship
358838945,POINT (-121.9496792 37.3063313),place_of_worship
358838960,POINT (-121.9491236 37.3018869),place_of_worship
358838964,POINT (-121.9655233 37.3017757),place_of_worship
358838967,POINT (-121.9816249 37.3082758),place_of_worship
358839259,POINT (-121.9696802 37.3302198),place_of_worship
358839385,POINT (-121.8866219 37.3429968),place_of_worship
358857338,POINT (-121.9508333 37.2930556),place_of_worship
358857341,POINT (-121.9511111 37.2852778),place_of_worship
358857354,POINT (-121.9761111 37.2736111),place_of_worship
358857382,POINT (-121.9624681 37.2518221),place_of_worship
358858060,POINT (-121.8902566 37.3979693),school
358858239,POINT (-121.8957345 37.4115281),school
358858301,POINT (-122.0239534 37.4081287),school
368166733,POINT (-121.9952371 37.3554972),public_building
368168551,POINT (-122.01947 37.2826583),fire_station
368168552,POINT (-121.9358378 37.28546),fire_station
368170145,POINT (-121.979341 37.3023728),library
368170147,POINT (-122.043276 37.3775957),library
368171539,POINT (-121.8831438 37.3352979),theatre
368172495,POINT (-122.0147222 37.2675),townhall
368172817,POINT (-121.8848582 37.3361101),theatre
369869019,POINT (-121.8537807 37.3634093),bench
369869035,POINT (-121.8540639 37.363457),bench
369931525,POINT (-122.0682149 37.3216867),fuel
370202097,POINT (-121.8918237 37.3353467),toilets
371264436,POINT (-121.9062841 37.3388849),loading_dock
373603966,POINT (-121.9308337 37.294955),bicycle_parking
373606486,POINT (-121.93394 37.2880242),cinema
373607739,POINT (-121.9340866 37.2876008),atm
387128141,POINT (-122.0751723 37.3781204),fuel
387984421,POINT (-121.9247116 37.3152604),parking_entrance
401243545,POINT (-121.9029096 37.3406748),drinking_water
407817431,POINT (-121.898911 37.3352063),drinking_water
410776150,POINT (-121.9208261 37.3235608),post_box
411157197,POINT (-121.9157875 37.310273),post_box
411157207,POINT (-121.9138884 37.3071374),waste_container
411157208,POINT (-121.9146889 37.3061427),bench
411157212,POINT (-121.9166544 37.3040468),waste_basket
411157214,POINT (-121.920491 37.3012066),bench
411157215,POINT (-121.9167059 37.3041082),vending_machine
411162119,POINT (-121.9206026 37.3012544),vending_machine
411162121,POINT (-121.9205597 37.3011656),waste_basket
416183114,POINT (-121.989977 37.2886024),cinema
416183850,POINT (-121.9924544 37.2901635),fast_food
416183851,POINT (-121.9918364 37.2907234),fast_food
416183907,POINT (-121.990859 37.290092),fast_food
416183908,POINT (-121.9907117 37.2899359),restaurant
416183982,POINT (-121.99048 37.2898221),restaurant
416184594,POINT (-121.97552 37.29424),fast_food
416184595,POINT (-121.9656828 37.2944982),fuel
420450982,POINT (-122.045651 37.3264018),toilets
420452302,POINT (-122.055193 37.3354293),post_box
428208391,POINT (-121.9835485 37.3891263),fast_food
428208392,POINT (-121.983424 37.389093),cafe
429184954,POINT (-121.992054 37.2904684),cafe
429184956,POINT (-121.992139 37.2903796),fast_food
437320488,POINT (-122.0669215 37.3372309),bank
437320491,POINT (-122.066804 37.3372382),atm
439200967,POINT (-122.0300819 37.376337),cafe
439234263,POINT (-121.932656 37.3444048),cafe
444668191,POINT (-121.9653187 37.352831),restaurant
445217042,POINT (-121.9399171 37.293804),fuel
445234774,POINT (-121.9760544 37.294421),restaurant
447927252,POINT (-121.9942579 37.392041),restaurant
447936090,POINT (-121.9964963 37.3871918),fuel
447936332,POINT (-121.9967957 37.3864731),college
450173154,POINT (-121.8608529 37.3750807),toilets
459379341,POINT (-121.873726 37.3739373),fuel
459379984,POINT (-121.8734487 37.3728832),fast_food
459380662,POINT (-121.873013 37.3732006),cafe
459381575,POINT (-121.8732533 37.372841),restaurant
459382303,POINT (-121.8730258 37.3725079),fast_food
459382310,POINT (-121.8730976 37.3731474),fast_food
459384683,POINT (-121.862102 37.3861032),fast_food
459385802,POINT (-121.843068 37.3695588),fuel
460289181,POINT (-122.018067 37.3412716),post_box
460289183,POINT (-122.013602 37.3413776),post_box
461674858,POINT (-121.897737 37.2552697),fuel
461674860,POINT (-121.8969388 37.2557752),restaurant
461674864,POINT (-121.8978096 37.2571718),restaurant
462082029,POINT (-121.9341036 37.3276206),parking_entrance
462082030,POINT (-121.9345334 37.3275813),parking_entrance
462147139,POINT (-122.0584838 37.2932225),bench
464804696,POINT (-122.0314805 37.2591845),fire_station
466092006,POINT (-122.0296199 37.3517167),fast_food
466092051,POINT (-122.0317657 37.3529959),restaurant
466092065,POINT (-122.03141 37.3526),fast_food
466092097,POINT (-122.02766 37.35865),post_box
467725012,POINT (-122.0353854 37.3233204),dentist
469478150,POINT (-122.026052 37.3611919),restaurant
469567711,POINT (-122.028993 37.3211516),parking_entrance
477042434,POINT (-122.033548 37.2579481),cafe
477043507,POINT (-122.033336 37.2577334),bank
477063030,POINT (-122.032296 37.259503),fuel
477070907,POINT (-122.034185 37.2574262),restaurant
477072431,POINT (-122.034296 37.2568911),restaurant
477073112,POINT (-122.0344169 37.2567431),restaurant
477073135,POINT (-122.0342901 37.2572837),restaurant
477074239,POINT (-122.0347258 37.2564493),restaurant
487072918,POINT (-122.0109753 37.4076029),fast_food
487082144,POINT (-122.0302567 37.3883329),restaurant
487082152,POINT (-122.0297107 37.3890294),cafe
487082165,POINT (-122.0303547 37.3883501),cafe
487082169,POINT (-122.0293185 37.3954379),fast_food
487556121,POINT (-122.011965 37.3088867),restaurant
487569962,POINT (-122.031882 37.3068136),restaurant
487569968,POINT (-122.0243583 37.3621189),restaurant
487628984,POINT (-122.0282885 37.36343),restaurant
487628986,POINT (-122.02449 37.3619803),dentist
487629007,POINT (-122.027121 37.3626448),post_office
487657729,POINT (-122.031698 37.3068131),school
487771815,POINT (-122.0188429 37.4087285),post_box
488594436,POINT (-122.0275353 37.3592625),parking
488595317,POINT (-122.0273379 37.3596309),parking
488596758,POINT (-122.0270546 37.3604905),parking
488597386,POINT (-122.0274666 37.3609203),parking
488598597,POINT (-122.0266169 37.3599583),parking
488599832,POINT (-122.0270203 37.3610362),parking
488600854,POINT (-122.0266941 37.3609885),parking
488601250,POINT (-122.0264795 37.3606133),parking
488601999,POINT (-122.0264109 37.3607975),parking
488622827,POINT (-122.028385 37.3634307),restaurant
488628467,POINT (-122.0285652 37.3591942),parking
488637246,POINT (-122.0276554 37.3603677),toilets
488666430,POINT (-122.026994 37.3607181),recycling
488669043,POINT (-122.0275353 37.3593605),recycling
488672657,POINT (-122.0278357 37.3609296),recycling
488679507,POINT (-122.0280932 37.3602952),recycling
488710678,POINT (-122.0327859 37.3586126),fast_food
488788295,POINT (-122.0409163 37.3770416),toilets
490455845,POINT (-122.0250828 37.4048082),restaurant
490455851,POINT (-122.0298063 37.3890549),fast_food
490455856,POINT (-122.029943 37.3882599),restaurant
491864092,POINT (-121.9236899 37.3981046),cafe
494645952,POINT (-121.950209 37.297537),fuel
494733062,POINT (-122.0384461 37.3777883),post_box
494747423,POINT (-122.0317546 37.3219467),restaurant
506818846,POINT (-121.9057807 37.2698548),fast_food
